anoCompra	cnpj	dataPublicacaoPncp	numero_controle_pncp	sequencialCompra	sequencialDocumento	statusAtivo	tipoDocumentoDescricao	tipoDocumentoId	tipoDocumentoNome	titulo	uri	url
2024	88811930000176	2024-10-15T08:47:43	88811930000176-1-000090/2024	90	1	True	Aviso de Contratação Direta	1	Aviso de Contratação Direta	FOLHA DE ROSTO - INEX. No 36-2024.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/88811930000176/compras/2024/90/arquivos/1	https://pncp.gov.br/pncp-api/v1/orgaos/88811930000176/compras/2024/90/arquivos/1
2024	88811930000176	2024-10-15T08:47:43	88811930000176-1-000090/2024	90	2	True	Outros Documentos	16	Outros Documentos	Referencia.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/88811930000176/compras/2024/90/arquivos/2	https://pncp.gov.br/pncp-api/v1/orgaos/88811930000176/compras/2024/90/arquivos/2
2024	88811930000176	2024-10-15T08:47:44	88811930000176-1-000090/2024	90	3	True	Outros Documentos	16	Outros Documentos	EXTRATO DE CONTRATOS No 24-2024 - 14-10.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/88811930000176/compras/2024/90/arquivos/3	https://pncp.gov.br/pncp-api/v1/orgaos/88811930000176/compras/2024/90/arquivos/3
2024	1509149000163	2024-10-15T09:59:43	01509149000163-1-000039/2024	39	1	True	Aviso de Contratação Direta	1	Aviso de Contratação Direta	DISPENSA 41 PROCESSO 43 TRANSPORTE CONFERENCIA.doc	https://pncp.gov.br/pncp-api/v1/orgaos/01509149000163/compras/2024/39/arquivos/1	https://pncp.gov.br/pncp-api/v1/orgaos/01509149000163/compras/2024/39/arquivos/1
2024	1509149000163	2024-10-15T09:59:43	01509149000163-1-000039/2024	39	2	True	Outros Documentos	16	Outros Documentos	LUJANTUR.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/01509149000163/compras/2024/39/arquivos/2	https://pncp.gov.br/pncp-api/v1/orgaos/01509149000163/compras/2024/39/arquivos/2
2024	91693317000106	2024-10-15T08:45:15	91693317000106-1-000076/2024	76	1	True	Edital	2	Edital	Chamamento - Credenciamento - Taxas Bancarias.doc	https://pncp.gov.br/pncp-api/v1/orgaos/91693317000106/compras/2024/76/arquivos/1	https://pncp.gov.br/pncp-api/v1/orgaos/91693317000106/compras/2024/76/arquivos/1
2024	91693317000106	2024-10-15T08:45:16	91693317000106-1-000076/2024	76	2	True	Outros Documentos	16	Outros Documentos	o - Servicos Bancarios - Edital Cham. 006.2024.rar	https://pncp.gov.br/pncp-api/v1/orgaos/91693317000106/compras/2024/76/arquivos/2	https://pncp.gov.br/pncp-api/v1/orgaos/91693317000106/compras/2024/76/arquivos/2
2024	91693317000106	2024-10-15T08:45:17	91693317000106-1-000076/2024	76	3	True	Outros Documentos	16	Outros Documentos	12 - PUBLICACAO JORNAL CIDADES.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/91693317000106/compras/2024/76/arquivos/3	https://pncp.gov.br/pncp-api/v1/orgaos/91693317000106/compras/2024/76/arquivos/3
2024	4215147000150	2024-10-15T09:26:42	04215147000150-1-000272/2024	272	1	True	Aviso de Contratação Direta	1	Aviso de Contratação Direta	Portal da Transparencia.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/04215147000150/compras/2024/272/arquivos/1	https://pncp.gov.br/pncp-api/v1/orgaos/04215147000150/compras/2024/272/arquivos/1
2024	4215147000150	2024-10-15T09:26:44	04215147000150-1-000272/2024	272	2	True	Outros Documentos	16	Outros Documentos	Proposta.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/04215147000150/compras/2024/272/arquivos/2	https://pncp.gov.br/pncp-api/v1/orgaos/04215147000150/compras/2024/272/arquivos/2
2024	4215147000150	2024-10-15T09:26:44	04215147000150-1-000272/2024	272	3	True	Aviso de Contratação Direta	1	Aviso de Contratação Direta	Ratificacao.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/04215147000150/compras/2024/272/arquivos/3	https://pncp.gov.br/pncp-api/v1/orgaos/04215147000150/compras/2024/272/arquivos/3
2024	1509149000163	2024-10-15T10:22:09	01509149000163-1-000040/2024	40	1	True	Aviso de Contratação Direta	1	Aviso de Contratação Direta	ETP DISPENSA 42 PROCESSO 44 CHAVEIROS DINOS.doc	https://pncp.gov.br/pncp-api/v1/orgaos/01509149000163/compras/2024/40/arquivos/1	https://pncp.gov.br/pncp-api/v1/orgaos/01509149000163/compras/2024/40/arquivos/1
2024	1509149000163	2024-10-15T10:22:10	01509149000163-1-000040/2024	40	2	True	Outros Documentos	16	Outros Documentos	orcamento Leli.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/01509149000163/compras/2024/40/arquivos/2	https://pncp.gov.br/pncp-api/v1/orgaos/01509149000163/compras/2024/40/arquivos/2
2024	88254883000107	2024-10-15T09:40:59	88254883000107-1-000204/2024	204	1	True	Aviso de Contratação Direta	1	Aviso de Contratação Direta	SOLICITACAO.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/88254883000107/compras/2024/204/arquivos/1	https://pncp.gov.br/pncp-api/v1/orgaos/88254883000107/compras/2024/204/arquivos/1
2024	88254883000107	2024-10-15T09:41:00	88254883000107-1-000204/2024	204	2	True	Outros Documentos	16	Outros Documentos	no de Trabalho Olimpiada Escolar Setembro 2024.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/88254883000107/compras/2024/204/arquivos/2	https://pncp.gov.br/pncp-api/v1/orgaos/88254883000107/compras/2024/204/arquivos/2
2024	88254883000107	2024-10-15T09:41:01	88254883000107-1-000204/2024	204	3	True	Outros Documentos	16	Outros Documentos	PARECER JURIDICO.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/88254883000107/compras/2024/204/arquivos/3	https://pncp.gov.br/pncp-api/v1/orgaos/88254883000107/compras/2024/204/arquivos/3
2024	88254883000107	2024-10-15T09:41:02	88254883000107-1-000204/2024	204	4	True	Aviso de Contratação Direta	1	Aviso de Contratação Direta	NTRATO 204.2024 - SESC - OLIMPIADAS ESCOLARES.docx	https://pncp.gov.br/pncp-api/v1/orgaos/88254883000107/compras/2024/204/arquivos/4	https://pncp.gov.br/pncp-api/v1/orgaos/88254883000107/compras/2024/204/arquivos/4
2024	87455531000157	2024-10-15T10:04:43	87455531000157-1-000233/2024	233	1	True	Aviso de Contratação Direta	1	Aviso de Contratação Direta	Prefeitura Municipal de Pelotas.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/87455531000157/compras/2024/233/arquivos/1	https://pncp.gov.br/pncp-api/v1/orgaos/87455531000157/compras/2024/233/arquivos/1
