aplicabilidadeMargemPreferenciaAdicional	aplicabilidadeMargemPreferenciaNormal	codigoRegistroImobiliario	criterioJulgamentoId	criterioJulgamentoNome	dataAtualizacao	dataInclusao	descricao	imagem	incentivoProdutivoBasico	itemCategoriaId	itemCategoriaNome	materialOuServico	materialOuServicoNome	ncmNbsCodigo	ncmNbsDescricao	numeroItem	numero_controle_pncp	orcamentoSigiloso	patrimonio	percentualMargemPreferenciaAdicional	percentualMargemPreferenciaNormal	quantidade	situacaoCompraItem	situacaoCompraItemNome	temResultado	tipoBeneficio	tipoBeneficioNome	unidadeMedida	valorTotal	valorUnitarioEstimado
False	False		1	Menor preço	2022-05-12T15:15:54	2022-05-12T15:15:54	SERVIÇOS DE ASSESSORIA E CONSULTORIA PARA ATENDER A DEMANDA DA SECRETARIA MUNICIPAL DE EDUCAÇÃO	0	True	3	Não se aplica	S	Serviço			12664	17888082000155-1-000011/2022-000002	True				12.0	1	Em andamento	True	1	Participação exclusiva para ME/EPP	MÊS	0	0
False	False		1	Menor preço	2022-06-08T10:27:48	2022-06-08T10:27:48	SERVIÇO DE TERAPIA OCUPACIONAL	0	False	3	Não se aplica	S	Serviço			12776	17888082000155-1-000012/2022-000005	True				60.0	1	Em andamento	True	1	Participação exclusiva para ME/EPP	SV	0	0
False	False		1	Menor preço	2022-06-02T08:54:19	2022-06-02T08:54:19	SERVIÇO DE INTERNAÇÃO COMPULSÓRIA	0	False	3	Não se aplica	S	Serviço			12426	17888082000155-1-000014/2022-000003	False				350.0	1	Em andamento	True	4	Sem benefício	MÊS	742700.0	2122.0
False	False		1	Menor preço	2022-06-02T08:54:19	2022-06-02T08:54:19	TAXA DE LAVANDERIA POR INTERNO	0	False	3	Não se aplica	S	Serviço			12427	17888082000155-1-000014/2022-000003	False				2200.0	1	Em andamento	False	4	Sem benefício	UN	88000.0	40.0
False	False		1	Menor preço	2022-06-02T08:54:19	2022-06-02T08:54:19	TRASLADO DO PACIENTE	0	False	3	Não se aplica	S	Serviço			12428	17888082000155-1-000014/2022-000003	False				10000.0	1	Em andamento	False	4	Sem benefício	km	41333.0	4.1333
False	False		1	Menor preço	2022-05-10T14:32:28	2022-05-10T14:32:28	PRESTAÇÃO SERVIÇO DE ASSESSORIA E CONSULTORIA DE MARKETING E PUBLICIDADE	0	True	3	Não se aplica	S	Serviço			12756	17888082000155-1-000011/2022-000001	True				12.0	1	Em andamento	True	1	Participação exclusiva para ME/EPP	MÊS	0	0
False	False		1	Menor preço	2022-05-10T14:32:28	2022-05-10T14:32:28	SERVIÇO DE TRANSMISSÃO DE LIVES E PROGRAMAS TELEVISIONADOS	0	True	3	Não se aplica	S	Serviço			12757	17888082000155-1-000011/2022-000001	True				12.0	1	Em andamento	True	1	Participação exclusiva para ME/EPP	MÊS	0	0
False	False		1	Menor preço	2022-06-02T08:54:19	2022-06-02T08:54:19	SERVIÇO DE INTERNAÇÃO COMPULSÓRIA	0	False	3	Não se aplica	S	Serviço			12426	17888082000155-1-000011/2022-000003	False				350.0	1	Em andamento	True	4	Sem benefício	MÊS	742700.0	2122.0
False	False		1	Menor preço	2022-06-02T08:54:19	2022-06-02T08:54:19	TAXA DE LAVANDERIA POR INTERNO	0	False	3	Não se aplica	S	Serviço			12427	17888082000155-1-000011/2022-000003	False				2200.0	1	Em andamento	False	4	Sem benefício	UN	88000.0	40.0
False	False		1	Menor preço	2022-06-02T08:54:19	2022-06-02T08:54:19	TRASLADO DO PACIENTE	0	False	3	Não se aplica	S	Serviço			12428	17888082000155-1-000011/2022-000003	False				10000.0	1	Em andamento	False	4	Sem benefício	km	41333.0	4.1333
False	False		1	Menor preço	2022-05-10T14:32:28	2022-05-10T14:32:28	PRESTAÇÃO SERVIÇO DE ASSESSORIA E CONSULTORIA DE MARKETING E PUBLICIDADE	0	True	3	Não se aplica	S	Serviço			12756	17888082000155-1-000012/2022-000001	True				12.0	1	Em andamento	True	1	Participação exclusiva para ME/EPP	MÊS	0	0
