files	numero_controle_pncp	tamanho (MB)	url
5152624.pdf	83102277000152-1-000343/2024	5.51	https://pncp.gov.br/pncp-api/v1/orgaos/83102277000152/compras/2024/343/arquivos/1
5152625.pdf	83102277000152-1-000343/2024	0.85	https://pncp.gov.br/pncp-api/v1/orgaos/83102277000152/compras/2024/343/arquivos/2
5152626.pdf	83102277000152-1-000343/2024	3.04	https://pncp.gov.br/pncp-api/v1/orgaos/83102277000152/compras/2024/343/arquivos/3
2710562.pdf	83074302000131-1-000063/2024	0.48	https://pncp.gov.br/pncp-api/v1/orgaos/83074302000131/compras/2024/63/arquivos/1
2710563.pdf	83074302000131-1-000063/2024	0.20	https://pncp.gov.br/pncp-api/v1/orgaos/83074302000131/compras/2024/63/arquivos/2
2710564.pdf	83074302000131-1-000063/2024	0.21	https://pncp.gov.br/pncp-api/v1/orgaos/83074302000131/compras/2024/63/arquivos/3
2710565.pdf	83074302000131-1-000063/2024	0.57	https://pncp.gov.br/pncp-api/v1/orgaos/83074302000131/compras/2024/63/arquivos/4
2710572.pdf	83074302000131-1-000063/2024	0.21	https://pncp.gov.br/pncp-api/v1/orgaos/83074302000131/compras/2024/63/arquivos/5
2710573.pdf	83074302000131-1-000063/2024	0.59	https://pncp.gov.br/pncp-api/v1/orgaos/83074302000131/compras/2024/63/arquivos/6
2710574.pdf	83074302000131-1-000063/2024	3.10	https://pncp.gov.br/pncp-api/v1/orgaos/83074302000131/compras/2024/63/arquivos/7
2710575.pdf	83074302000131-1-000063/2024	0.19	https://pncp.gov.br/pncp-api/v1/orgaos/83074302000131/compras/2024/63/arquivos/8
2710576.pdf	83074302000131-1-000063/2024	0.14	https://pncp.gov.br/pncp-api/v1/orgaos/83074302000131/compras/2024/63/arquivos/9
5152618.pdf	83102277000152-1-000341/2024	5.27	https://pncp.gov.br/pncp-api/v1/orgaos/83102277000152/compras/2024/341/arquivos/1
5152619.pdf	83102277000152-1-000341/2024	0.63	https://pncp.gov.br/pncp-api/v1/orgaos/83102277000152/compras/2024/341/arquivos/2
5152620.pdf	83102277000152-1-000341/2024	1.27	https://pncp.gov.br/pncp-api/v1/orgaos/83102277000152/compras/2024/341/arquivos/3
495797.pdf	11267522000170-1-000023/2024	0.22	https://pncp.gov.br/pncp-api/v1/orgaos/11267522000170/compras/2024/23/arquivos/1
495801.pdf	11267522000170-1-000023/2024	0.29	https://pncp.gov.br/pncp-api/v1/orgaos/11267522000170/compras/2024/23/arquivos/2
495805.docx	11267522000170-1-000023/2024	0.06	https://pncp.gov.br/pncp-api/v1/orgaos/11267522000170/compras/2024/23/arquivos/3
900190.pdf	82827148000169-1-000097/2024	6.89	https://pncp.gov.br/pncp-api/v1/orgaos/82827148000169/compras/2024/97/arquivos/1
900195.pdf	82827148000169-1-000097/2024	0.09	https://pncp.gov.br/pncp-api/v1/orgaos/82827148000169/compras/2024/97/arquivos/2
900198.pdf	82827148000169-1-000097/2024	0.14	https://pncp.gov.br/pncp-api/v1/orgaos/82827148000169/compras/2024/97/arquivos/3
5152663.pdf	00662091000120-1-000047/2024	1.14	https://pncp.gov.br/pncp-api/v1/orgaos/00662091000120/compras/2024/47/arquivos/1
754022.pdf	88368386000130-1-000066/2024	1.18	https://pncp.gov.br/pncp-api/v1/orgaos/88368386000130/compras/2024/66/arquivos/1
754026.pdf	88368386000130-1-000066/2024	0.36	https://pncp.gov.br/pncp-api/v1/orgaos/88368386000130/compras/2024/66/arquivos/2
754028.pdf	88368386000130-1-000066/2024	0.26	https://pncp.gov.br/pncp-api/v1/orgaos/88368386000130/compras/2024/66/arquivos/3
5152621.pdf	83102277000152-1-000342/2024	5.49	https://pncp.gov.br/pncp-api/v1/orgaos/83102277000152/compras/2024/342/arquivos/1
5152622.pdf	83102277000152-1-000342/2024	2.52	https://pncp.gov.br/pncp-api/v1/orgaos/83102277000152/compras/2024/342/arquivos/2
5152623.pdf	83102277000152-1-000342/2024	3.05	https://pncp.gov.br/pncp-api/v1/orgaos/83102277000152/compras/2024/342/arquivos/3
5739469.pdf	83551549000100-1-000050/2024	0.71	https://pncp.gov.br/pncp-api/v1/orgaos/83551549000100/compras/2024/50/arquivos/1
5152660.pdf	00662091000120-1-000046/2024	0.80	https://pncp.gov.br/pncp-api/v1/orgaos/00662091000120/compras/2024/46/arquivos/1
Termo_de_Referencia_PE_001.2021___Atualizacao_out.2020.pdf	17217985000104-1-000002/2021	4.97	https://pncp.gov.br/pncp-api/v1/orgaos/17217985000104/compras/2021/2/arquivos/1
Projeto Basico Dispensa Eletronica 16-2021 GRA-MT.pdf	00394460000141-1-000001/2021	0.57	https://pncp.gov.br/pncp-api/v1/orgaos/00394460000141/compras/2021/1/arquivos/1
INSTRUCOES GERAIS PARA AQUISICAO e TERMO DE REFERENCIA.pdf	17217985000104-1-000003/2021	0.63	https://pncp.gov.br/pncp-api/v1/orgaos/17217985000104/compras/2021/3/arquivos/1
SEI_FUNAI - 3146944 - Termo de Referencia.pdf	00059311000126-1-000001/2021	0.38	https://pncp.gov.br/pncp-api/v1/orgaos/00059311000126/compras/2021/1/arquivos/1
ANEXO PARA DISPENSA.odt	00394452000103-1-000003/2021	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/3/arquivos/1
Termo de Referencia.pdf	35840659000130-1-000001/2021	0.14	https://pncp.gov.br/pncp-api/v1/orgaos/35840659000130/compras/2021/1/arquivos/1
Projeto Basico Cot Eletronica 32-2021_Medalhas e Trofeus_corrigido.doc	00394452000103-1-000001/2021	0.92	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/1/arquivos/1
cotacao dispensa.pdf	00394502000144-1-000001/2021	14.81	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/1/arquivos/1
SCAN0001.PDF	00394452000103-1-000002/2021	0.51	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2021/2/arquivos/1
INSTRUCOES GERAIS PARA AQUISICAO - DISPENSA ELETRONICA.pdf	17217985000104-1-000001/2021	1.35	https://pncp.gov.br/pncp-api/v1/orgaos/17217985000104/compras/2021/1/arquivos/1
COTACAO 021-2021 - COTACOES BATERIAS.doc	00394502000144-1-000002/2021	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2021/2/arquivos/1
